% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU06230;ydjK;0.0075379;0.55003;4.3765e-05;0.005806;0.036079;0.00049444
BSU06240;ydjL;11.0684;4242.6595;0.017389;0.0015711;0.18953;0.00049444
BSU06250;ydjM;1.4576;9.8258;0.01641;0.011258;0.0033331;0.00049444
BSU06260;ydjN;1.118;79.6936;0.018514;0.01656;0.035246;0.00049444
BSU06270;ydjO;7.0014;578.3847;0.030466;0.0043514;0.040846;0.00049444
BSU06280;ydjP;1.587;95.8446;0.017228;0.010855;0.029861;0.00049444
BSU06290;yeaA;1.6339;133.1632;0.019825;0.012134;0.040298;0.00049444
BSU06300;cotA;0.152;1.8705;0.0045666;0.030044;0.0060844;0.00049444
BSU06310;gabP;3.6198;84.4557;0.028154;0.0077777;0.011536;0.00049444
BSU06320;yeaB;0.84267;16.1383;0.01105;0.013113;0.0094693;0.00049444
BSU06330;yeaC;0.7711;114.5009;0.013447;0.017438;0.07342;0.00049444
BSU06340;yeaD;2.0758;81.2617;0.027296;0.01315;0.019356;0.00049444
BSU06350;yebA;1.8667;38.2218;0.019935;0.01068;0.010124;0.00049444
BSU06360;guaA;7.9025;8643.5073;0.036629;0.0046352;0.54081;0.00049444
BSU06370;pbuG;3.1175;375.094;0.060069;0.019268;0.05949;0.00049444
BSU06380;yebC;0.44428;11.7754;0.0085227;0.019183;0.013105;0.00049444
BSU06390;yebD;0.062698;1.7246;0.00010188;0.001625;0.0136;0.00049444
BSU06400;yebE;0.25263;14.5282;0.003859;0.015275;0.028434;0.00049444
BSU06410;yebG;0.31392;10.1195;0.0018595;0.0059235;0.015939;0.00049444
BSU06420;purE;20.5579;2003.0639;0.23184;0.011277;0.048176;0.00049444
BSU06430;purK;27.2522;1101.4255;0.29079;0.010671;0.019983;0.00049444
BSU06440;purB;39.6573;10093.9941;0.37941;0.0095672;0.12585;0.00049444
