% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU11030;yitL;1.3817;291.2251;0.016166;0.0117;0.10421;0.00049444
BSU11040;yitM;0.27636;18.7235;0.00039908;0.0014441;0.033499;0.00049444
BSU11050;yitN;0.054322;3.9426;0.00014553;0.002679;0.035886;0.00049444
BSU11060;yitO;0.068138;4.5055;0.0047775;0.070115;0.032694;0.00049444
BSU11070;yitP;0.077597;15.917;0.00059342;0.0076475;0.10142;0.00049444
BSU11080;yitQ;0.54747;21.489;0.0048809;0.0089155;0.019408;0.00049444
BSU11090;yitR;0.45153;4.1684;0.0036098;0.0079946;0.0045645;0.00049444
BSU11100;nprB;0.1743;2.8351;0.0010774;0.0061814;0.0080425;0.00049444
BSU11110;yitS;1.6303;66.9872;0.0161;0.0098756;0.020316;0.00049444
BSU11120;yitT;1.7329;46.6343;0.027437;0.015833;0.013306;0.00049444
BSU11130;ipi;0.39521;71.7502;0.0051554;0.013045;0.089767;0.00049444
BSU11140;yitU;2.496;9.4673;0.011299;0.0045268;0.0018754;0.00049444
BSU11150;yitV;1.3073;98.07;0.0072012;0.0055085;0.037093;0.00049444
BSU11160;yitW;2.7395;534.833;0.0097177;0.0035472;0.09653;0.00049444
BSU11170;yitY;2.5916;29.413;0.02384;0.009199;0.0056116;0.00049444
BSU11180;yitZ;0.52455;64.8981;0.0043356;0.0082653;0.061173;0.00049444
BSU11190;argC;10.9085;1562.1635;0.10368;0.0095044;0.070807;0.00049444
BSU11200;argJ;23.0612;1843.8614;0.26791;0.011618;0.039533;0.00049444
BSU11210;argB;18.7136;823.5308;0.19319;0.010324;0.021759;0.00049444
BSU11220;argD;16.7361;1823.4204;0.11654;0.0069635;0.05387;0.00049444
BSU11230;carA;20.944;3613.1082;0.11067;0.0052841;0.085298;0.00049444
BSU11240;carB;21.8154;54.0416;0.13563;0.006217;0.0012248;0.00049444
BSU11250;argF;17.8748;557.1239;0.065333;0.003655;0.015411;0.00049444
BSU11260;yjzC;0.34442;19.9851;0.00049736;0.0014441;0.02869;0.00049444
BSU11270;yjzD;3.9279;146.2999;0.028181;0.0071747;0.018416;0.00049444
BSU11280;yjaU;0.27051;13.7279;0.0054741;0.020236;0.025092;0.00049444
BSU11290;yjaV;0.020419;0.40563;0.00033496;0.016404;0.0098224;0.00049444
BSU11300;med;1.8662;47.2145;0.010025;0.0053716;0.012509;0.00049444
BSU11310;comZ;0.60929;8.9343;0.011176;0.018343;0.0072503;0.00049444
BSU11320;yjzB;0.77418;9.7981;0.001118;0.0014441;0.0062578;0.00049444
BSU11330;fabHA;7.9173;882.9432;0.060622;0.0076569;0.055141;0.00049444
BSU11340;fabF;22.2319;1308.1751;0.15576;0.0070062;0.029094;0.00049444
BSU11350;yjaZ;0.050204;4.2546;0.00020823;0.0041477;0.041903;0.00049444
BSU11360;appD;3.5031;86.1067;0.048643;0.013886;0.012154;0.00049444
BSU11370;appF;8.6958;248.1599;0.19086;0.021948;0.01411;0.00049444
BSU11380;appA;11.4413;261.4858;0.017634;0.0015412;0.0113;0.00049444
BSU11390;appB;9.874;15701.6918;0.066229;0.0067073;0.78626;0.00049444
BSU11400;appC;7.5922;239.1065;0.050164;0.0066073;0.015572;0.00049444
BSU11410;yjbA;0.71334;0.51796;0.0038747;0.0054317;0.00035902;0.00049444
BSU11420;trpS;4.0042;810.6526;0.013605;0.0033975;0.1001;0.00049444
BSU11430;oppA;7.5183;3899.8605;0.010997;0.0014627;0.25648;0.00049444
BSU11440;oppB;1.8711;134.0856;0.0073755;0.0039419;0.035433;0.00049444
BSU11450;oppC;2.6174;199.2075;0.013022;0.0049751;0.037632;0.00049444
BSU11460;oppD;3.4061;205.2767;0.014694;0.004314;0.029799;0.00049444
BSU11470;oppF;2.5338;88.296;0.010077;0.0039771;0.01723;0.00049444
BSU11480;yjbB;0.17836;0.24673;0.0011275;0.0063215;0.00068397;0.00049444
BSU11490;yjbC;2.2012;491.6182;0.028008;0.012724;0.11043;0.00049444
BSU11500;yjbD;1.7179;227.9914;0.020226;0.011774;0.06562;0.00049444
BSU11510;yjbE;0.033298;1.5108;0.00030441;0.0091421;0.022433;0.00049444
BSU11520;mecA;0.88224;63.0665;0.016398;0.018586;0.035345;0.00049444
BSU11530;yjbF;0.39119;30.3164;0.0079833;0.020408;0.038318;0.00049444
BSU11540;yjbG;7.019;741.1854;0.010742;0.0015304;0.052212;0.00049444
BSU11550;yjbH;0.59204;29.3176;0.0095714;0.016167;0.024485;0.00049444
BSU11560;yjbI;1.1594;25.1855;0.019021;0.016406;0.010741;0.00049444
BSU11570;yjbJ;2.7388;148.4333;0.032591;0.0119;0.026797;0.00049444
BSU11580;yjbK;0.9234;48.5552;0.011103;0.012024;0.025999;0.00049444
BSU11590;yjbL;4.4994;66.7381;0.024883;0.0055304;0.007334;0.00049444
BSU11600;yjbM;4.3395;197.9883;0.022352;0.0051508;0.022559;0.00049444
BSU11610;yjbN;4.231;84.1031;0.019845;0.0046904;0.0098285;0.00049444
BSU11620;yjbO;2.7181;115.1431;0.011481;0.0042239;0.020946;0.00049444
BSU11630;yjbP;0.6753;51.4729;0.0049598;0.0073445;0.037687;0.00049444
BSU11640;yjbQ;0.86653;45.1255;0.0084329;0.0097318;0.025749;0.00049444
BSU11650;tenA;22.6624;1134.4662;0.13276;0.005858;0.024752;0.00049444
BSU11660;tenI;39.15;288.1358;0.22927;0.0058563;0.003639;0.00049444
BSU11670;goxB;35.6188;647.6672;0.19052;0.0053488;0.0089906;0.00049444
BSU11680;thiS;32.2477;520.3793;0.17163;0.0053222;0.0079788;0.00049444
BSU11690;thiG;25.0941;9023.0688;0.12148;0.0048408;0.17779;0.00049444
BSU11700;thiF;27.7442;590.1114;0.11738;0.0042308;0.010517;0.00049444
BSU11710;yjbV;17.2498;2289.3098;0.066679;0.0038655;0.06562;0.00049444
BSU11720;fabI;7.3626;1751.6558;0.040541;0.0055064;0.11763;0.00049444
BSU11730;yjbX;0.59617;48.2546;0.0008609;0.0014441;0.040021;0.00049444
BSU11740;cotZ;0.013944;1.3188;0.00010886;0.007807;0.046762;0.00049444
BSU11750;cotY;0.0094986;0.52129;1.9374e-05;0.0020397;0.027135;0.00049444
BSU11760;cotX;0.022779;0.54623;0.00031254;0.013721;0.011857;0.00049444
BSU11770;cotW;0.066091;3.6376;0.00010351;0.0015662;0.027214;0.00049444
BSU11780;cotV;0.075666;38.0307;0.00015172;0.0020051;0.24851;0.00049444
BSU11790;yjcA;0.060562;11.4721;0.00046029;0.0076004;0.093661;0.00049444
BSU11800;yjcB;0.063067;116.3102;9.1073e-05;0.0014441;0.91186;0.00049444
BSU11810;yjcC;0.0062207;0.92501;1.1466e-05;0.0018431;0.073523;0.00049444
BSU11820;yjcD;1.0746;31.2077;0.017828;0.01659;0.014359;0.00049444
BSU11830;yjcE;0.35097;7.8403;0.016067;0.045778;0.011045;0.00049444
BSU11840;yjcF;10.1209;52.3852;0.057863;0.0057172;0.0025592;0.00049444
BSU11850;yjcG;13.9234;257.0334;0.085836;0.0061649;0.0091277;0.00049444
BSU11860;yjcH;14.1579;73.7093;0.091572;0.0064679;0.0025742;0.00049444
BSU11870;yjcI;18.1993;205.0571;0.10752;0.005908;0.0055711;0.00049444
BSU11880;yjcJ;11.0674;162.9279;0.056266;0.005084;0.0072789;0.00049444
BSU11890;yjcK;0.33617;5.6281;0.0018567;0.0055231;0.0082779;0.00049444
BSU11900;yjcL;0.33707;3.2004;0.0018909;0.0056099;0.0046946;0.00049444
BSU11910;yjcM;9.446;143.5068;0.040804;0.0043197;0.0075118;0.00049444
BSU11920;yjcN;6.2972;118.4814;0.051971;0.0082532;0.009303;0.00049444
BSU11930;yjcO;0.99169;31.5946;0.0062291;0.0062813;0.015753;0.00049444
BSU11940;yjcP;0.82148;21.9535;0.0031047;0.0037793;0.013214;0.00049444
BSU11950;yjcQ;1.1989;254.2668;0.0073836;0.0061589;0.10487;0.00049444
BSU11960;yjcR;0.075047;2.9737;0.00052795;0.007035;0.019592;0.00049444
BSU11970;yjcS;1.672;21.473;0.0024144;0.0014441;0.0063501;0.00049444
BSU11980;yjdA;0.7656;106.6595;0.0011056;0.0014441;0.068883;0.00049444
BSU11990;yjdB;0.074023;4.9212;0.00058196;0.007862;0.032872;0.00049444
BSU12000;manR;0.14099;1.7484;0.0034606;0.024544;0.0061316;0.00049444
BSU12010;manP;0.045979;0.52965;0.00035111;0.0076363;0.0056957;0.00049444
BSU12020;manA;0.054817;2.8609;7.9158e-05;0.0014441;0.025805;0.00049444
BSU12030;yjdF;4.4399;3206.7975;0.018941;0.0042662;0.35713;0.00049444
BSU12040;yjdG;1.0666;71.0069;0.013041;0.012227;0.032917;0.00049444
BSU12050;yjdH;0.035877;1.1963;5.1808e-05;0.0014441;0.016486;0.00049444
BSU12060;yjdI;1.3286;122.1934;0.0067914;0.0051116;0.045474;0.00049444
BSU12070;yjdJ;0.24671;5.6791;0.0031365;0.012713;0.011382;0.00049444
BSU12080;ctaO;0.16807;0.3244;0.0031982;0.019029;0.00095437;0.00049444
BSU12090;cotT;0.05998;1.5418;0.0011783;0.019645;0.01271;0.00049444
BSU12100;yjeA;1.5953;9.5813;0.03953;0.02478;0.0029697;0.00049444
BSU12110;yjfA;0.37989;20.3056;0.0072571;0.019103;0.026428;0.00049444
BSU12120;yjfB;6.6352;286.1154;0.0095816;0.0014441;0.021321;0.00049444
BSU12130;yjfC;0.18164;16.2887;0.0002623;0.0014441;0.044339;0.00049444
BSU12140;yjgA;0.33991;126.368;0.0086047;0.025315;0.18382;0.00049444
BSU12150;yjgB;0.19884;24.1829;0.001107;0.0055673;0.060133;0.00049444
BSU12160;yjgC;1.0864;99.3976;0.0018733;0.0017244;0.04524;0.00049444
BSU12170;yjgD;1.746;49.9648;0.0027888;0.0015973;0.01415;0.00049444
BSU12180;yjhA;5.7901;268.1608;0.014366;0.0024812;0.0229;0.00049444
BSU12190;yjhB;2.1447;63.3824;0.015428;0.0071935;0.014612;0.00049444
BSU12200;yjiA;0.55033;11.7132;0.0038049;0.0069138;0.010524;0.00049444
BSU12210;yjiB;0.36907;4.7566;0.0022366;0.0060601;0.0063725;0.00049444
BSU12220;yjiC;0.41493;6.5713;0.00251;0.0060491;0.0078306;0.00049444
BSU12230;yjjA;3.3666;194.7448;0.017123;0.0050861;0.028602;0.00049444
BSU12240;yjkA;0.57581;4.1475;0.00495;0.0085966;0.0035615;0.00049444
BSU12250;yjkB;0.70628;20.0453;0.0063757;0.0090272;0.014033;0.00049444
BSU12260;yjlA;0.75662;135.8254;0.0064637;0.0085428;0.088761;0.00049444
BSU12270;yjlB;0.49793;32.6661;0.005379;0.010803;0.032437;0.00049444
BSU12280;yjlC;41.1202;7872.2146;0.19104;0.0046459;0.094658;0.00049444
BSU12290;yjlD;50.7802;8197.0526;0.22329;0.0043972;0.079814;0.00049444
BSU12300;uxaC;0.03381;0.4772;7.9492e-05;0.0023511;0.0069786;0.00049444
BSU12310;yjmB;0.011495;0.70992;4.0106e-05;0.0034891;0.030537;0.00049444
BSU12320;yjmC;0.0085405;0.55078;6.1508e-05;0.0072019;0.031887;0.00049444
BSU12330;yjmD;0.33577;705.5744;0.00049096;0.0014622;1.039;0.00049444
BSU12340;uxuA;0.036824;9.0249;9.0578e-05;0.0024598;0.12118;0.00049444
BSU12350;yjmF;0.05471;0.12195;0.00041285;0.0075461;0.0011022;0.00049444
BSU12360;exuT;0.04858;3.8827;0.00031409;0.0064654;0.039518;0.00049444
BSU12370;exuR;0.64412;125.0679;0.010251;0.015914;0.096005;0.00049444
BSU12380;uxaB;0.28724;1.191;0.002996;0.01043;0.0020502;0.00049444
BSU12390;uxaA;0.087013;1.4023;0.00066414;0.0076327;0.0079685;0.00049444
BSU12400;yjnA;3.7859;82.1923;0.06632;0.017517;0.010734;0.00049444
BSU12410;yjoA;5.3314;667.1919;0.0076988;0.0014441;0.061877;0.00049444
BSU12420;yjoB;0.80546;115.295;0.0030709;0.0038126;0.070776;0.00049444
BSU12430;rapA;4.2591;79.7285;0.21436;0.050331;0.0092558;0.00049444
BSU12440;phrA;4.3428;711.6417;0.09176;0.021129;0.081024;0.00049444
BSU12450;yjpA;0.3682;9.2222;0.0019524;0.0053026;0.012384;0.00049444
BSU12460;xlyB;0.18925;12.091;0.00027328;0.0014441;0.03159;0.00049444
BSU12470;yjqA;1.0739;5.8668;0.0015507;0.0014441;0.0027013;0.00049444
BSU12480;yjqB;0.94239;88.3575;0.0051086;0.0054209;0.046358;0.00049444
BSU12490;yjqC;1.0529;24.2365;0.0070904;0.0067342;0.011382;0.00049444
BSU12500;xkdA;0.36987;24.6801;0.0081039;0.02191;0.032993;0.00049444
BSU12510;xre;3.2205;116.7335;0.039523;0.012272;0.017922;0.00049444
BSU12520;xkdB;0.040871;3.0683;0.00052637;0.012879;0.037119;0.00049444
BSU12530;xkdC;0.13916;2.5876;0.0013898;0.0099867;0.0091937;0.00049444
BSU12540;xkdD;0.51744;136.6731;0.0017753;0.003431;0.1306;0.00049444
BSU12550;xtrA;0.081653;1.0315;0.00056662;0.0069394;0.0062459;0.00049444
BSU12560;xpf;0.027668;2.0771;0.00018805;0.0067965;0.037119;0.00049444
BSU12570;xtmA;0.29635;364.9968;0.0023609;0.0079666;0.60898;0.00049444
BSU12580;xtmB;0.25408;8.1312;0.0018645;0.0073384;0.015823;0.00049444
BSU12590;xkdE;0.23804;1.9129;0.0013536;0.0056867;0.0039733;0.00049444
BSU12600;xkdF;0.8936;100.9172;0.0012904;0.0014441;0.055839;0.00049444
BSU12610;xkdG;0.64557;19.4718;0.00094293;0.0014606;0.014914;0.00049444
BSU12620;xkdH;0.63969;25.6205;0.00093713;0.001465;0.019803;0.00049444
BSU12630;xkdI;0.96044;102.489;0.001388;0.0014452;0.052763;0.00049444
BSU12640;xkdJ;1.0172;12.6268;0.0014688;0.0014441;0.0061379;0.00049444
BSU12650;xkdK;0.60197;29.2706;0.00091484;0.0015197;0.024042;0.00049444
BSU12660;xkdM;0.71967;32.8342;0.0012133;0.001686;0.022559;0.00049444
BSU12670;xkdN;0.45093;31.6103;0.0012038;0.0026696;0.034661;0.00049444
BSU12680;xkdO;0.51707;114.8394;0.0012259;0.0023709;0.10981;0.00049444
BSU12690;xkdP;0.89452;15.6437;0.0018657;0.0020857;0.0086471;0.00049444
BSU12700;xkdQ;0.4684;3.764;0.0011351;0.0024232;0.0039733;0.00049444
BSU12710;xkdR;1.0629;160.712;0.0026667;0.002509;0.074764;0.00049444
BSU12720;xkdS;0.63257;18.7365;0.0015931;0.0025185;0.014645;0.00049444
BSU12730;xkdT;0.42991;6.9928;0.00091822;0.0021358;0.0080425;0.00049444
BSU12740;xkdU;0.45527;53.3371;0.0010352;0.0022739;0.057927;0.00049444
BSU12750;xkdV;0.42381;1.3678;0.0014086;0.0033236;0.0015958;0.00049444
BSU12760;xkdW;0.26182;9.3044;0.00092271;0.0035243;0.017572;0.00049444
BSU12770;xkdX;0.19718;6.5226;0.00045175;0.002291;0.016356;0.00049444
BSU12780;xepA;0.42238;28.0322;0.0012242;0.0028982;0.032815;0.00049444
BSU12790;xhlA;0.85393;117.6023;0.0026549;0.0031091;0.068094;0.00049444
BSU12800;xhlB;0.52669;17.9568;0.0010697;0.0020311;0.016858;0.00049444
BSU12810;xlyA;0.15345;6.0073;0.00032146;0.0020948;0.019356;0.00049444
BSU12820;spoIISB;0.54955;111.9977;0.010529;0.01916;0.10077;0.00049444
BSU12830;spoIISA;0.59816;56.5714;0.011617;0.019422;0.046762;0.00049444
BSU12840;pit;10.3007;556.8249;0.115;0.011165;0.026728;0.00049444
BSU12850;ykaA;8.4751;1748.0807;0.093179;0.010994;0.10198;0.00049444
BSU12860;ykbA;1.1772;78.0537;0.005583;0.0047427;0.032785;0.00049444
BSU12870;ykcA;0.55665;52.339;0.0021521;0.0038661;0.04649;0.00049444
BSU12880;ykcB;0.080478;4.0024;0.00013282;0.0016504;0.02459;0.00049444
BSU12890;ykcC;0.16836;0.82292;0.00025007;0.0014853;0.0024167;0.00049444
BSU12900;htrA;0.77313;62.5649;0.0078474;0.01015;0.040013;0.00049444
BSU12910;proG;0.53154;43.0235;0.0017348;0.0032637;0.040021;0.00049444
BSU12920;dppA;0.93386;138.234;0.035487;0.038001;0.07319;0.00049444
BSU12930;dppB;0.48718;13.5184;0.0058568;0.012022;0.01372;0.00049444
BSU12940;dppC;0.47587;130.4264;0.0038655;0.008123;0.13552;0.00049444
BSU12950;dppD;0.78798;41.6559;0.0041869;0.0053135;0.026139;0.00049444
BSU12960;dppE;1.6494;60.8344;0.057524;0.034877;0.018237;0.00049444
BSU12970;ykfA;0.68861;93.3879;0.0017128;0.0024874;0.067056;0.00049444
BSU12980;ykfB;0.60433;42.5328;0.0014407;0.0023839;0.034799;0.00049444
BSU12990;ykfC;0.91216;116.9958;0.0018175;0.0019925;0.063419;0.00049444
BSU13000;ykfD;0.67405;5.453;0.0013003;0.0019291;0.004;0.00049444
BSU13010;ykgB;9.1935;1370.5268;0.013276;0.0014441;0.07371;0.00049444
BSU13020;ykgA;0.69596;39.5822;0.0029383;0.004222;0.028121;0.00049444
BSU13030;ykhA;2.5405;194.9165;0.017148;0.00675;0.037935;0.00049444
BSU13040;hmp;0.11749;411.108;0.00044035;0.0037479;1.7301;0.00049444
BSU13050;ykzH;0.017267;0.28819;8.5105e-05;0.0049289;0.0082526;0.00049444
BSU13060;ykjA;0.012433;0.72141;5.132e-05;0.0041279;0.02869;0.00049444
BSU13070;ykkA;0.42697;6.9686;0.001735;0.0040634;0.0080698;0.00049444
BSU13080;ykkB;0.55566;8.2053;0.0021561;0.0038802;0.0073014;0.00049444
BSU13090;ykkC;0.45202;10.2596;0.0015227;0.0033687;0.011222;0.00049444
BSU13100;ykkD;0.31249;36.61;0.0012568;0.0040219;0.057927;0.00049444
BSU13110;ykkE;3.1395;528.524;0.037556;0.011962;0.083238;0.00049444
BSU13120;proB;6.4679;155.6067;0.10291;0.015911;0.011896;0.00049444
BSU13130;proA;7.7807;200.2089;0.078485;0.010087;0.012723;0.00049444
BSU13140;yklA;3.6879;150.9379;0.0053255;0.0014441;0.020237;0.00049444
BSU13150;ykmA;0.37586;3.5465;0.0027094;0.0072086;0.0046655;0.00049444
BSU13160;ykzA;3.2182;344.3379;0.0046473;0.0014441;0.052904;0.00049444
BSU13170;guaD;1.3077;47.4001;0.013481;0.010309;0.017922;0.00049444
BSU13180;metE;54.3831;221.1653;0.27835;0.0051184;0.0020108;0.00049444
BSU13190;ispA;0.13766;7.6977;0.00037969;0.0027583;0.027649;0.00049444
BSU13200;ykoB;2.3902;202.1628;0.0041897;0.0017529;0.04182;0.00049444
BSU13210;ykoC;13.0392;10788.4724;0.080823;0.0061985;0.4091;0.00049444
BSU13220;ykoD;18.4428;547.5079;0.1496;0.0081118;0.014679;0.00049444
BSU13230;ykoE;16.0542;484.8225;0.14215;0.0088542;0.014932;0.00049444
BSU13240;ykoF;14.2313;610.0399;0.14309;0.010055;0.021195;0.00049444
BSU13250;ykoG;0.52448;8.4658;0.0058957;0.011241;0.007981;0.00049444
BSU13260;ykoH;0.72011;2.6244;0.0071605;0.0099435;0.001802;0.00049444
BSU13270;ykoI;0.87235;35.1065;0.0082394;0.009445;0.019898;0.00049444
BSU13280;ykoJ;0.79283;25.8733;0.0064781;0.0081709;0.016136;0.00049444
BSU13290;ykzD;0.022153;2.2016;0.00021886;0.0098798;0.049139;0.00049444
BSU13300;ykoK;3.316;41.8408;0.085455;0.02577;0.0062388;0.00049444
BSU13310;tnrA;0.37825;25.2395;0.0022928;0.0060616;0.032993;0.00049444
BSU13320;ykzB;0.12135;7.5276;0.00061603;0.0050763;0.030671;0.00049444
BSU13330;ykoL;0.055391;0.14878;0.00064437;0.011633;0.0013281;0.00049444
BSU13340;ykoM;1.0602;24.8437;0.0053043;0.0050032;0.011587;0.00049444
BSU13350;ykoN;0.031471;2.045;0.00047227;0.015006;0.032129;0.00049444
BSU13360;ykoP;0.013933;0.45469;5.2801e-05;0.0037896;0.016136;0.00049444
BSU13370;ykoQ;0.086475;2.2974;0.00090437;0.010458;0.013136;0.00049444
BSU13380;ykoS;0.022393;0.20776;0.00040805;0.018223;0.0045875;0.00049444
BSU13390;ykoT;0.034363;1.2674;0.00027205;0.0079169;0.018237;0.00049444
BSU13400;ykoU;0.21735;9.2076;0.0034073;0.015676;0.020946;0.00049444
BSU13410;ykoV;0.1919;3.505;0.0023291;0.012137;0.0090307;0.00049444
BSU13420;ykoW;1.1012;4.3967;0.017132;0.015557;0.0019741;0.00049444
BSU13430;ykoX;0.38896;35.918;0.0029638;0.0076196;0.045658;0.00049444
BSU13440;ykoY;0.60347;20.5446;0.0044484;0.0073714;0.016833;0.00049444
BSU13450;sigI;0.27371;1.0384;0.015981;0.058388;0.0018758;0.00049444
BSU13460;ykrI;1.0385;18.3619;0.039011;0.037567;0.0087427;0.00049444
BSU13470;sspD;0.048958;6.1951;0.00058026;0.011852;0.062566;0.00049444
BSU13480;ykrK;3.0327;70.1988;0.01549;0.0051075;0.011445;0.00049444
BSU13490;ykrL;0.60749;422.3447;0.0022226;0.0036586;0.34375;0.00049444
BSU13500;ykrM;0.46167;42.4769;0.010188;0.022067;0.045493;0.00049444
BSU13510;ykzE;0.02588;0.42702;0.00021047;0.0081326;0.0081584;0.00049444
BSU13520;ykrP;0.016038;0.42859;0.0002642;0.016474;0.013214;0.00049444
BSU13530;kinE;0.71515;87.8511;0.013441;0.018795;0.060739;0.00049444
BSU13540;ogt;0.55136;12.7258;0.0031741;0.0057569;0.011412;0.00049444
BSU13550;ykrS;48.1882;4302.0807;0.53672;0.011138;0.044142;0.00049444
BSU13560;ykrT;62.7073;4828.541;0.77524;0.012363;0.038073;0.00049444
BSU13570;ykrU;2.5302;82.2843;0.017919;0.007082;0.016079;0.00049444
BSU13580;ykrV;5.8612;209.3404;0.05083;0.0086723;0.01766;0.00049444
BSU13590;ykrW;14.1158;91.7728;0.17083;0.012102;0.0032146;0.00049444
BSU13600;ykrX;19.2441;1597.9278;0.23798;0.012366;0.041056;0.00049444
BSU13610;ykrY;31.998;3258.5111;0.27802;0.0086887;0.050352;0.00049444
BSU13620;ykrZ;11.4318;497.1177;0.094466;0.0082635;0.021501;0.00049444
BSU13630;ykvA;0.28282;37.0569;0.0038412;0.013582;0.064786;0.00049444
BSU13640;spo0E;1.951;37.7007;0.032563;0.01669;0.0095544;0.00049444
BSU13650;eag;0.26601;4.006;0.0061841;0.023247;0.007446;0.00049444
BSU13660;kinD;1.3729;52.5619;0.029273;0.021322;0.01893;0.00049444
BSU13670;ykvE;0.91133;56.6695;0.0099433;0.010911;0.030746;0.00049444
BSU13680;motB;7.0984;150.0455;0.077138;0.010867;0.010452;0.00049444
BSU13690;motA;7.3303;130.4839;0.09475;0.012926;0.0088014;0.00049444
BSU13700;clpE;0.36944;60.979;0.004191;0.011344;0.081613;0.00049444
BSU13710;ykvI;0.055526;1.3516;0.00028044;0.0050506;0.012035;0.00049444
BSU13720;ykvJ;1.2925;277.6985;0.018034;0.013953;0.10623;0.00049444
BSU13730;ykvK;1.5797;201.0227;0.020711;0.013111;0.062921;0.00049444
BSU13740;ykvL;2.9099;95.9582;0.028805;0.0098989;0.016305;0.00049444
BSU13750;ykvM;3.4492;678.889;0.025799;0.0074796;0.09732;0.00049444
BSU13760;ykvN;0.9048;246.004;0.006612;0.0073077;0.13443;0.00049444
BSU13770;ykvO;0.13083;6.1201;0.00063012;0.0048162;0.023129;0.00049444
BSU13780;ykvP;0.08278;2.0211;0.0012934;0.015625;0.012072;0.00049444
BSU13790;ykvQ;0.1819;8.4893;0.001599;0.0087907;0.023076;0.00049444
BSU13800;ykvR;0.077341;2.4559;0.0010078;0.01303;0.015701;0.00049444
BSU13810;ykvS;2.403;135.944;0.010694;0.0044501;0.027972;0.00049444
BSU13820;ykvT;0.063692;0.61321;0.0020538;0.032246;0.0047604;0.00049444
BSU13830;ykvU;0.12354;2.7759;0.00097911;0.0079252;0.01111;0.00049444
BSU13840;ykvV;0.18394;2.5504;0.00066992;0.0036421;0.0068557;0.00049444
BSU13850;ykvW;0.20982;21.2151;0.0030199;0.014393;0.049994;0.00049444
BSU13860;ykvY;2.1926;354.8046;0.011118;0.0050705;0.080011;0.00049444
BSU13870;ykvZ;0.51763;0.63689;0.0026783;0.0051741;0.00060835;0.00049444
BSU13880;glcT;0.97918;70.1346;0.0087901;0.008977;0.035415;0.00049444
BSU13890;ptsG;40.3191;4397.6719;0.32382;0.0080314;0.05393;0.00049444
BSU13900;ptsH;48.9526;226.38;0.12501;0.0025536;0.0022865;0.00049444
BSU13910;ptsI;33.7909;11404.619;0.073319;0.0021698;0.16688;0.00049444
BSU13920;splA;1.9231;9.1675;0.0045098;0.0023451;0.002357;0.00049444
BSU13930;splB;1.5728;100.566;0.0035731;0.0022718;0.031615;0.00049444
BSU13940;ykwB;0.88891;46.7416;0.011098;0.012484;0.025999;0.00049444
BSU13950;mcpC;3.9672;207.3475;0.025786;0.0064999;0.025842;0.00049444
BSU13960;ykwC;23.5067;1936.9215;0.046626;0.0019835;0.040742;0.00049444
BSU13970;ykwD;0.40606;11.8719;0.00086015;0.0021183;0.014456;0.00049444
BSU13980;ykuA;5.371;205.1504;0.033419;0.0062222;0.018886;0.00049444
BSU13990;kinA;0.85695;479.6753;0.0068158;0.0079536;0.27677;0.00049444
BSU14000;patA;3.874;566.7108;0.032897;0.0084916;0.07233;0.00049444
BSU14010;cheV;4.5996;381.4723;0.04025;0.0087509;0.041007;0.00049444
BSU14020;ykyB;5.5285;235.5259;0.12893;0.02332;0.021064;0.00049444
BSU14030;ykuC;1.0179;3.1886;0.011954;0.011743;0.0015488;0.00049444
BSU14040;ykuD;0.2101;12.9757;0.0054764;0.026066;0.030537;0.00049444
BSU14050;ykuE;0.30759;390.1301;0.0082554;0.026839;0.62713;0.00049444
BSU14060;ykuF;0.76389;70.1935;0.0011031;0.0014441;0.045435;0.00049444
BSU14070;ykuG;1.3709;1134.2467;0.0068963;0.0050306;0.4091;0.00049444
BSU14080;ykuH;0.57763;22.2037;0.015768;0.027298;0.019006;0.00049444
BSU14090;ykuI;1.163;208.7685;0.015356;0.013203;0.088754;0.00049444
BSU14100;ykuJ;7.5473;1650.4283;0.028464;0.0037714;0.10812;0.00049444
BSU14110;ykuK;12.1414;615.8927;0.053433;0.0044009;0.025081;0.00049444
BSU14120;ykzF;16.8674;45.307;0.11039;0.0065446;0.0013281;0.00049444
BSU14130;ykuL;1.2156;17.1366;0.0098271;0.008084;0.0069702;0.00049444
BSU14140;ccpC;1.3135;48.3862;0.0082592;0.006288;0.018214;0.00049444
BSU14150;ykuN;0.092864;1.422;0.0014276;0.015373;0.0075712;0.00049444
BSU14160;ykuO;0.10668;5.1919;0.0013349;0.012514;0.024064;0.00049444
BSU14170;ykuP;0.096036;268.0201;0.00095728;0.0099679;1.3799;0.00049444
BSU14180;ykuQ;13.3599;6758.5877;0.020915;0.0015655;0.25013;0.00049444
BSU14190;ykuR;7.257;221.9177;0.020859;0.0028743;0.01512;0.00049444
BSU14200;ykuS;4.821;314.0395;0.012708;0.002636;0.032208;0.00049444
BSU14210;ykuT;0.55025;60.2904;0.0046723;0.0084912;0.054175;0.00049444
BSU14220;ykuU;2.4251;160.9476;0.0057513;0.0023716;0.032815;0.00049444
BSU14230;ykuV;1.1806;89.9847;0.0034683;0.0029378;0.037687;0.00049444
BSU14240;rok;5.2056;574.4798;0.023178;0.0044525;0.054566;0.00049444
BSU14250;yknT;0.015962;1.0627;0.00018081;0.011327;0.032917;0.00049444
